name,url,total,Ted Cruz,Tommy Tuberville,Joshua Hawley,Rick Scott,Richard Shelby,"Marshall, Roger",Bill Haggerty,Marsha Blackburn,John Kennedy,Cynthia Lummis,Tom Cotton,Marco Rubio,John Barraso,Rand Paul,Tim Scott,Pat Toomey,Mike Lee,John Boozman,James Lankford,Cindy Hyde-Smith,Benjamin Sasse,Bill Cassidy,Steven Daines,John Hoeven,James Inhofe,Joni Ernst,Mike Braun,Jim Risch,Michael Crapo,Deb Fischer,Jerry Moran,John Thune,Ron Johnson,John Cornyn,Dan Sullivan,Kevin Cramer,Todd Young,Thom Tills,Roger Wicker,Roy Blunt,Shelley Moore Capito,Mitch McConnell,Chuck Grassley,Mitt Romney,Richard Burr,Mike Rounds,Rob Portman,Lindsey Graham,Lisa Murkowski,First Highest Donatee,Second Highest Donatee,Third Highest Donatee
Senate Conservatives Fund,www.senateconservatives.com,1827134,286588,106146,363735,0,0,0,0,289292,0,146748,0,0,0,49327,0,0,34350,0,0,0,0,0,295841,0,0,0,217112,0,0,0,0,0,37995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joshua Hawley,Steven Daines,Marsha Blackburn
Club for Growth,www.clubforgrowth.org,1472410,235782,0,299301,167674,0,0,0,220703,0,139288,0,0,0,94367,0,0,73340,0,0,0,49801,0,109971,0,0,0,82183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joshua Hawley,Ted Cruz,Marsha Blackburn
Berkshire Hathaway,www.berkshirehathaway.com,1461434,87583,0,28346,24443,0,11014,0,26880,26751,7517,0,32061,58153,0,28324,12051,40228,0,23500,0,27550,41260,45266,0,27550,78159,35075,34000,0,53910,47600,40500,25801,102476,34165,19050,56680,0,73025,25050,42550,62079,35164,15000,0,26050,22000,60618,24005,John Cornyn,Ted Cruz,Joni Ernst
Blackstone Group,www.blackstone.com,1330062,27240,0,0,0,0,22325,30035,42680,23095,0,33513,18933,43200,0,45216,25900,39666,15500,38656,17250,19300,45875,68194,24731,0,65618,12825,11200,64100,0,0,68400,0,80505,37100,27000,18731,0,0,0,35200,144438,38335,77400,0,15020,0,52881,0,Mitch McConnell,John Cornyn,Mitt Romney
Comcast Corp,https://corporate.comcast.com,1320507,33430,0,19074,19200,15000,0,0,52975,0,12500,22873,31191,35000,13557,24484,38875,43500,44500,22500,27562,29025,22000,21743,25000,20000,38926,17500,22500,22000,48312,38000,34500,22615,41593,38060,13000,31020,5000,48200,30000,31462,78175,25515,20045,15000,15000,25100,59995,25000,Mitch McConnell,Lindsey Graham,Marsha Blackburn
Apollo Global Management,www.apollo.com,1261419,36257,0,0,24561,47500,0,120085,25573,0,0,52168,18926,25700,11075,39140,46100,16400,0,18600,0,15400,0,0,0,15025,67453,14581,24425,79450,17135,0,29500,0,238010,23435,11915,46751,0,0,0,0,110587,35700,25250,0,0,0,24717,0,John Cornyn,Bill Haggerty,Mitch McConnell
Blue Cross/Blue Shield,www.bcbs.com,1174545,0,0,0,0,10000,0,0,0,0,0,0,20073,52055,0,44412,42500,0,0,45000,0,24000,41520,41398,0,0,41932,0,14002,66002,23076,20000,32000,0,81975,0,0,104715,0,0,48525,31525,117392,82796,22535,7000,0,63510,53142,43460,Mitch McConnell,Todd Young,Chuck Grassley
AT&T Inc,www.att.com,1146336,49430,0,23100,0,0,11007,0,50481,0,0,24714,34331,0,36708,30873,29700,40065,41075,34010,0,31002,0,0,14020,35065,26845,20505,0,0,30025,35000,37970,46133,44463,25131,19030,29357,2025,37000,36108,31021,88430,14770,0,34000,26580,20555,55807,0,Mitch McConnell,Lindsey Graham,Marsha Blackburn
Northrop Grumman,www.northropgrumman.com,1143777,27403,0,19384,0,30000,0,0,0,21146,0,25717,34204,25550,0,24308,22685,22791,30250,28088,0,25455,23215,38981,38075,42124,40388,0,23015,0,67880,28775,46375,18528,42009,37267,15125,28357,0,29025,22525,31040,47617,16595,18025,16000,32500,20090,51690,31575,Deb Fischer,Lindsey Graham,Mitch McConnell
Votesane PAC,www.votesane.com,1108685,0,0,0,0,0,0,0,0,0,0,0,176625,0,0,145935,0,0,0,125500,0,0,0,0,0,0,105100,0,0,0,0,130400,177000,0,0,0,0,103525,0,0,0,0,127450,0,0,0,0,0,0,17150,John Thune,Marco Rubio,Tim Scott
Charter Communications,www.chartercommunications.co,1075222,25455,0,23805,0,0,0,0,28500,25025,10000,0,25157,89700,19050,0,0,45000,15000,30000,0,20000,32500,111799,15000,0,35880,15000,0,25000,25000,30000,42500,30060,35725,17500,15000,30000,0,52300,29050,27000,73980,0,0,0,0,17500,37736,20000,Steven Daines,John Barraso,Mitch McConnell
United Parcel Service,www.ups.com,1027558,0,0,0,0,0,18070,0,25512,21413,11000,21133,28419,34041,18562,33752,0,0,22500,25005,0,24525,29120,49221,0,0,29440,22000,0,27700,31000,26500,37000,26992,39093,31162,0,35022,0,0,27010,35080,142356,0,0,15000,35085,23555,45830,35460,Mitch McConnell,Steven Daines,Lindsey Graham
Lockheed Martin,www.lmco.com,1015472,79105,0,0,0,132750,0,0,0,0,0,68094,35792,0,0,32323,0,0,33000,14505,15344,0,0,32049,20035,114848,29583,0,36059,0,34534,32025,30535,0,53834,20144,0,0,0,0,19665,0,0,17645,0,11000,26569,0,106034,20000,Richard Shelby,James Inhofe,Lindsey Graham
NextEra Energy,www.nexteraenergy.com,1000611,0,0,0,117073,0,0,0,0,0,0,0,37921,68550,0,31195,0,0,49000,19000,0,18500,0,49899,29500,17000,53700,0,0,22000,0,0,116700,0,41376,16500,0,18000,0,0,0,0,92091,27500,0,0,43200,20000,46156,65750,Rick Scott,John Thune,Mitch McConnell
Honeywell International,www.honeywellinternational.co,993583,32474,0,0,0,35000,0,0,0,15671,0,25798,37241,25023,0,33813,18685,0,21500,31000,0,30105,37700,32030,26000,32960,29769,14000,17600,22500,35010,27500,33025,18810,35086,30306,0,33048,0,32500,0,30150,56822,32500,0,25000,28150,24500,32307,0,Mitch McConnell,Bill Cassidy,Marco Rubio
National Assn of Realtors,www.nar.realtor,972959,0,0,0,0,20000,10000,15000,20500,17500,15000,21000,22000,35000,0,30525,25000,15500,18000,19000,40000,27500,34000,26000,19000,19500,28550,0,12000,29000,18000,19500,35000,0,41025,0,16250,18302,0,33000,30000,25000,40654,29000,12500,17500,30500,27000,33153,27000,John Cornyn,Mitch McConnell,Cindy Hyde-Smith
FedEx Corp,www.fedex.com,969891,37991,0,0,27930,26000,12150,66902,58021,0,0,0,25417,32593,0,37681,12560,0,20000,13000,0,13500,0,39423,0,23523,41856,13610,15753,0,27008,20000,35530,12521,0,48937,0,29214,0,0,17500,27524,59035,18808,13200,16500,12005,24520,49079,40600,Bill Haggerty,Mitch McConnell,Marsha Blackburn
Home Depot,www.homedepot.com,968616,0,0,0,70836,20000,10085,20356,0,0,5010,18308,20679,22601,12250,36745,0,25197,20000,20000,0,20037,25099,38415,30000,25066,38685,15000,22514,25004,38010,0,27525,0,32640,30643,15000,32751,0,40000,20000,25010,42383,30267,0,0,15000,20074,32351,25075,Rick Scott,Mitch McConnell,Roger Wicker
Union Pacific Corp,www.up.com,960352,34700,0,0,0,15000,11500,0,20000,0,0,0,30146,33500,0,0,0,32000,30000,40000,0,40855,22500,31035,12500,32000,36705,0,15000,35000,66526,35000,25000,25500,35711,31000,0,25000,0,35000,20005,35500,35080,30000,20000,15000,0,22500,31089,0,Deb Fischer,Benjamin Sasse,James Lankford
Delta Air Lines,www.delta.com,931516,73381,0,0,0,20000,0,18585,32138,0,5035,0,21879,79417,0,27135,0,30843,0,0,0,0,0,27530,32075,0,0,0,62430,64900,36495,0,32710,10674,36352,41400,15270,0,0,35225,0,38605,55461,0,20400,0,0,30570,39870,43136,John Barraso,Ted Cruz,Michael Crapo
Deloitte LLP,www2.deloitte.com,920722,0,0,16778,21860,15000,10600,0,24935,0,0,0,25425,30010,0,39043,22510,0,23500,24500,0,21005,27510,37337,15020,17540,33209,12945,20025,32500,28025,21100,30000,17778,42558,27788,0,28470,0,22545,20015,34125,42551,0,0,15000,27015,33510,36465,22525,John Cornyn,Mitch McConnell,Tim Scott
Koch Industries,www.kochcareers.com,915801,0,0,16020,32920,10000,25635,0,44225,25342,15000,0,0,45400,0,37872,21000,30400,29000,34000,0,30025,30000,41030,0,40000,0,0,35000,32500,0,18900,0,15804,46809,20010,11000,25004,0,31000,20000,30000,44397,0,0,0,31000,22500,24008,0,John Cornyn,John Barraso,Mitch McConnell
Raytheon Technologies,www.rtx.com,910172,29568,0,0,38498,37600,0,0,0,15806,0,0,49294,0,0,0,0,0,20000,0,21015,0,0,0,26000,57525,91765,0,29000,0,37000,20500,33640,0,57918,29008,0,0,0,57900,17000,13060,74587,15027,0,20000,19000,27058,42378,30025,Joni Ernst,Mitch McConnell,John Cornyn
National Republican Senatorial Cmte,www.nrsc.org,863698,0,0,47400,0,0,44600,44600,47402,0,0,0,46200,0,0,0,0,0,49000,46501,47400,0,44602,44625,0,0,44638,47400,35000,0,0,0,0,46500,44630,44700,47400,0,0,0,0,0,0,46500,0,0,0,0,44600,0,John Boozman,Marsha Blackburn,Joshua Hawley
Capital Group Companies,www.capitalgroup.com,832983,0,0,0,0,0,0,0,0,0,0,0,0,26500,0,61910,28500,0,38300,0,0,100200,0,0,0,0,30425,0,0,47500,0,0,100600,0,54273,20000,0,50800,0,0,0,0,99350,0,30100,8000,30400,50000,56125,0,John Thune,Benjamin Sasse,Mitch McConnell
National Multifamily Housing Council,www.nmhc.org,824500,0,0,0,0,10000,0,0,22500,0,10000,0,25000,45000,0,26500,25000,0,32500,20000,17500,0,25000,35000,10000,25500,0,0,0,35000,37500,35000,35000,0,40000,20000,0,30000,0,40000,30000,35000,37500,30000,0,7500,30000,25000,0,27500,John Barraso,John Cornyn,John Cornyn
Goldman Sachs,www.goldmansachs.com,818509,0,0,0,0,0,19100,34000,0,0,0,142220,20000,0,0,90810,48500,0,15500,26800,16300,13500,0,36725,0,0,24125,15000,17900,21000,0,0,27900,0,42225,59900,0,0,0,0,0,18500,56079,0,34550,0,15300,22575,0,0,Tom Cotton,Tim Scott,Dan Sullivan
Microsoft Corp,www.microsoft.com,774290,0,0,0,0,0,0,0,0,0,6883,0,0,34500,19585,31878,0,75700,19900,0,0,36420,0,47777,40300,17550,22600,0,0,0,23000,0,47900,0,48763,25100,13000,22418,0,40200,20200,0,44577,20405,15445,0,28550,0,71639,0,Mike Lee,Lindsey Graham,John Cornyn
National Assn of Broadcasters,www.nab.org,770643,0,0,16400,0,0,0,0,25750,0,20000,0,22500,34000,0,0,0,30000,31468,0,22500,31500,0,0,0,17500,25750,0,0,0,21000,35500,49850,0,36500,25000,0,53200,0,68850,47200,34000,34500,37000,0,0,0,0,50675,0,Roger Wicker,Todd Young,Lindsey Graham
Mortgage Bankers Assn,www.mba.org,770500,0,0,0,0,25000,0,15000,0,25000,15000,35000,0,37500,0,30000,25000,10000,12500,27500,32500,30000,0,30000,0,0,27500,12500,0,34000,0,20000,32500,0,37800,0,15000,22500,0,25000,25000,36000,35000,27500,15000,0,37700,17500,0,0,John Cornyn,Mike Rounds,John Barraso
General Dynamics,www.gdit.com,767554,0,0,0,0,68000,0,20512,0,0,0,25025,36413,28100,0,40301,0,0,32050,27125,16530,0,0,29553,0,57500,24600,15000,28025,0,33500,19500,0,0,0,30125,0,0,0,20625,18500,18145,41766,0,0,10000,25575,30000,39559,31525,Richard Shelby,James Inhofe,Mitch McConnell
American Bankers Assn,www.aba.com,693157,0,0,13525,0,0,16025,12750,0,0,0,25550,25000,0,0,30550,21250,12500,25000,30500,30025,26050,0,22525,28500,20525,38620,12525,12525,30000,21130,20950,25000,20000,42175,16800,0,20050,0,25025,0,0,0,20057,0,0,33025,0,0,15000,John Cornyn,Joni Ernst,Mike Rounds
Altria Group,www.altria.com,677325,0,0,0,23200,30000,11030,17500,32516,0,7750,0,19050,0,24400,23083,0,15750,0,14500,15000,0,35010,43150,0,0,0,0,0,0,0,0,39700,12550,44399,0,0,18000,0,0,22500,14379,110147,19025,0,45600,0,0,39086,0,Mitch McConnell,Richard Burr,John Cornyn
NorPAC,www.norpacpaper.com,668413,93950,0,0,0,0,0,0,22300,0,0,24300,0,0,0,28728,0,0,22500,0,24320,29300,59200,40770,0,0,29000,0,0,29300,20650,24800,0,0,0,0,0,0,0,30220,0,25500,163575,0,0,0,0,0,0,0,Mitch McConnell,Ted Cruz,Bill Cassidy
Pro-Israel America PAC,www.proisraelamerica.org,660170,0,0,0,0,0,0,0,0,0,0,0,124050,0,0,125200,0,0,79000,227500,0,0,0,0,12500,0,0,0,0,73420,0,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Lankford,Tim Scott,Marco Rubio
Wine & Spirits Wholesalers of America,www.wine.com,650833,0,0,0,0,15000,0,0,0,0,5000,0,0,35000,0,27500,20000,0,32500,0,0,18333,22500,33000,26000,27500,0,0,0,25000,20000,27500,30000,25000,37500,38500,0,32500,0,0,22500,32500,35000,17500,0,7500,0,0,0,37500,Dan Sullivan,John Cornyn,John Cornyn
UnitedHealth Group,www.unitedhealthgroup.com,638199,0,0,0,0,0,0,0,0,0,0,0,0,25025,0,37971,0,10593,0,0,0,0,25710,0,12500,15000,0,18900,0,121300,0,0,27500,12990,43380,0,0,40635,0,0,35000,28600,84520,17500,17575,12500,20000,31000,0,0,Michael Crapo,Mitch McConnell,John Cornyn
Amgen Inc,www.amgen.com,617502,0,0,0,0,0,0,0,32005,0,11005,0,0,72400,0,60743,0,10000,0,25255,0,0,31500,52635,13500,0,23703,0,0,78700,0,25000,0,0,39450,0,0,0,0,0,33000,0,51106,26500,0,0,0,31000,0,0,Michael Crapo,John Barraso,Tim Scott
Verizon Communications,www.verizon.com,600881,26138,0,0,0,0,0,0,24578,0,0,0,40588,46000,11298,0,11995,21062,0,0,0,0,0,21566,14500,18000,0,0,0,0,20000,0,33000,0,44203,22375,0,0,5800,43725,19500,0,54695,40152,0,10000,18525,22000,31181,0,Mitch McConnell,John Barraso,John Cornyn
Pfizer Inc,www.pfizer.com,576764,0,0,0,0,0,11025,14016,26850,0,5000,0,18959,36200,0,33049,17750,0,0,15500,0,0,30025,22334,11000,0,0,0,0,46000,17000,16000,46600,0,37085,0,0,33725,0,0,25000,17525,68621,0,0,10000,0,17500,0,0,Mitch McConnell,John Thune,Michael Crapo
CSX Corp,www.csx.com,571068,0,0,0,19700,20000,0,0,0,0,0,0,25281,27500,0,0,0,25000,26500,0,0,25000,0,0,0,15000,0,12000,0,0,35750,22500,30000,25035,0,25000,0,25100,0,30000,30000,27500,46484,0,0,15000,0,0,37218,25500,Mitch McConnell,Lindsey Graham,Deb Fischer
Rock Holdings,,547085,0,0,0,21000,0,15600,17500,36200,0,20000,0,0,0,0,44300,26700,10000,0,0,0,0,0,49000,0,0,0,0,0,51000,0,25400,44700,20400,0,15620,0,0,0,32300,0,14100,47265,0,0,0,35200,20800,0,0,Michael Crapo,Steven Daines,Mitch McConnell
General Motors,www.gm.com,544848,23281,0,0,0,15000,0,17055,0,0,0,0,25670,22825,0,27240,0,17510,0,17500,0,25500,0,0,0,0,27436,0,0,0,15625,28500,32500,0,0,17575,0,27947,0,27500,25000,25775,37922,15171,0,0,0,25000,25181,22135,Mitch McConnell,John Thune,Jerry Moran
National Beer Wholesalers Assn,www.nbwa.org,539750,0,0,0,22500,12500,10000,0,0,0,10000,0,0,37500,0,0,0,35000,15250,0,20000,17500,25000,25000,0,25000,0,15000,15000,20000,19000,20000,27500,15000,0,0,0,0,0,0,25000,27500,37500,25000,0,10500,12500,0,0,15000,John Barraso,John Barraso,Mike Lee
NCTA The Internet & Television Assn,www.ncta.com,535600,22500,0,0,0,0,0,0,26600,0,0,0,0,28000,0,0,0,30000,13500,0,0,15000,0,27500,0,0,0,0,0,0,41000,35250,37500,25000,35000,34250,0,20000,0,35000,30000,22000,40000,17500,0,0,0,0,0,0,Deb Fischer,Mitch McConnell,John Thune
General Atomics,www.ga.com,509774,0,0,0,0,24000,0,0,0,0,5000,0,0,0,0,0,0,0,51550,0,67325,0,0,0,26800,17500,0,0,52600,0,0,42100,0,0,58550,46750,23400,0,0,55150,0,0,0,0,14300,0,0,0,24749,0,Cindy Hyde-Smith,John Cornyn,Roger Wicker
Norfolk Southern,www.nscorp.com,505253,0,0,0,0,15000,0,0,25000,0,0,0,27500,40000,0,0,0,25000,18500,0,0,30050,0,0,17500,0,0,0,0,0,25000,25000,35000,25000,0,25000,0,25000,0,20000,35000,37500,0,0,0,20500,0,0,33703,0,John Barraso,Shelley Moore Capito,John Thune
ClearPath Foundation,www.clearpath.org,497422,0,0,0,0,45000,0,0,0,37400,0,0,0,52700,0,0,0,17900,26200,0,0,0,48122,0,45800,0,0,25800,0,51200,0,0,0,0,36200,0,18100,0,5800,0,15600,20800,0,0,0,0,0,0,0,50800,John Barraso,Michael Crapo,Lisa Murkowski
AFLAC Inc,www.aflacgroupinsurance.com,494617,0,0,0,0,15000,0,29300,0,0,0,0,0,21500,0,45677,17500,0,21000,0,0,22500,0,23155,0,0,0,0,11000,27000,52550,20000,42500,0,0,0,0,0,0,0,0,13000,41422,30513,0,10000,18500,32500,0,0,Deb Fischer,Tim Scott,John Thune
Walmart Inc,www.walmart.com,489182,0,0,0,0,0,0,0,0,0,0,0,35059,32853,0,40444,0,0,41587,17045,0,0,0,26728,0,0,24473,0,0,0,0,22780,29138,0,36352,0,0,0,0,0,20002,13535,59590,0,0,5500,16610,0,38619,28867,Mitch McConnell,John Boozman,Tim Scott
CVS Health,www.cvshealth.com,480344,0,0,0,0,0,11580,14175,0,0,0,0,0,48430,0,32229,16260,12575,0,14500,0,0,0,24386,0,0,0,0,0,31006,0,0,30050,0,43551,0,0,31833,0,0,45000,0,54664,24055,0,11000,0,35050,0,0,Mitch McConnell,John Barraso,Roy Blunt
American Hotel & Lodging Assn,www.americanhotel.com,476000,0,0,0,0,10000,0,0,0,0,0,0,25000,32500,0,0,0,0,17500,0,15000,0,0,30000,0,0,25000,0,0,0,25000,20000,30000,20000,37500,0,0,20000,0,30000,22500,15000,35000,0,0,6000,30000,0,30000,0,John Cornyn,Mitch McConnell,John Barraso
Automotive Free International Trade PAC,www.afitpac.com,465000,0,0,0,0,0,0,15000,0,0,5000,25000,0,35000,0,0,0,0,0,0,15000,0,0,20000,25000,20000,0,0,10000,30000,15000,25000,30000,0,35000,0,0,20000,0,0,0,15000,35000,25000,0,20000,0,20000,0,25000,John Barraso,John Barraso,John Barraso
Boeing Co,www.boeing.com,463202,35140,2904,17665,0,88000,0,0,0,0,0,0,0,0,0,35501,0,0,0,0,0,0,0,23534,0,39120,0,0,17610,0,0,17520,0,0,0,0,0,0,0,20000,25137,0,41635,12361,0,12000,16665,0,58410,0,Richard Shelby,Lindsey Graham,Mitch McConnell
BGR Group,www.bgrdc.com,462573,0,0,0,24810,0,0,20700,20800,0,0,0,37500,0,0,0,0,0,0,0,37358,0,20000,27275,0,0,26300,0,19900,0,18962,0,36100,0,0,0,0,0,0,120768,0,0,42900,0,0,9200,0,0,0,0,Roger Wicker,Mitch McConnell,Marco Rubio
T-Mobile USA,www.t-mobile.com,460643,0,0,0,0,0,0,0,32025,0,0,0,0,27500,0,0,0,33500,0,12500,0,17025,0,37040,0,19500,0,0,0,30000,28000,30500,39000,12035,0,19508,0,0,0,37000,39000,17510,0,0,0,8000,0,21000,0,0,John Thune,John Thune,Steven Daines
Southern Co,www.southerncompany.com,459059,0,0,0,0,0,12525,16025,20085,0,7560,0,21914,31015,0,0,0,10050,0,0,31415,17520,0,32390,0,15015,0,0,35025,0,18000,0,25005,0,0,0,0,19040,0,27655,0,0,39456,0,0,14000,0,0,36814,28550,Mitch McConnell,Lindsey Graham,Jim Risch
Merck & Co,www.sigmaaldrich.com,457421,0,0,0,0,0,0,0,0,0,0,0,0,37500,0,30626,16355,0,0,14500,0,14070,22060,20816,10000,0,23323,0,0,32500,20500,20000,40000,0,40145,0,0,0,0,0,20000,12750,43276,0,0,20000,0,19000,0,0,Mitch McConnell,John Cornyn,John Thune
Marathon Petroleum,www.marathonpetroleum.com,447793,0,0,22500,0,0,10000,0,30010,25433,5000,0,0,32500,0,0,0,0,0,13500,17500,0,0,0,0,35000,0,17500,10000,0,0,0,25000,0,56913,15902,27500,18525,0,20000,0,20000,0,0,0,0,20000,25010,0,0,John Cornyn,James Inhofe,John Barraso
General Electric,www.ge.com,443129,0,0,0,0,17500,0,0,0,0,0,0,0,21525,0,24567,24475,0,0,15500,0,0,0,28210,0,38800,0,0,0,20500,0,19500,26500,0,0,0,0,0,0,0,31700,0,48942,22035,0,8500,0,37517,36858,20500,Mitch McConnell,James Inhofe,Rob Portman
National Assn of Real Estate Investment Trusts,www.reit.com,442150,0,0,0,0,0,0,0,0,0,0,0,0,36000,0,35000,21000,0,15000,18500,0,17000,30000,22750,10500,0,0,0,0,35000,0,27500,25000,0,0,0,0,26000,0,0,20000,0,0,41900,15000,21000,0,25000,0,0,Chuck Grassley,John Barraso,Tim Scott
National Assn of Convenience Stores,www.convenience.org,436000,0,0,0,0,0,0,0,20000,0,25000,0,20000,33500,0,30000,0,0,0,0,0,0,0,22500,20000,22500,27500,0,0,0,27500,20000,35000,17500,0,0,15000,20000,0,0,20000,0,0,20000,0,15000,0,0,0,25000,John Thune,John Barraso,Tim Scott
Wells Fargo,www.wellsfargo.com,427532,0,0,23079,0,0,0,0,0,0,7500,21321,30323,26565,0,32533,0,0,0,0,0,14650,0,39576,0,0,37942,16475,0,0,0,19280,0,0,0,0,0,0,0,0,0,0,39770,16063,10935,0,19285,0,49960,22275,Lindsey Graham,Mitch McConnell,Steven Daines
DaVita Inc,www.davita.com,426864,0,0,0,0,0,0,0,30750,0,0,0,0,0,11695,0,14025,0,22000,0,0,14000,30000,0,0,0,0,0,0,29000,0,0,0,0,0,0,66600,95400,0,17000,17000,0,64394,15000,0,0,0,0,0,0,Todd Young,Kevin Cramer,Mitch McConnell
Abbott Laboratories,www.cardiovascular.abbott,420462,0,0,0,0,0,0,0,0,0,0,0,25945,40000,0,42420,18500,0,31357,15000,0,0,0,0,0,0,0,12500,0,22525,18330,0,35000,0,0,0,0,29002,0,0,20000,0,39095,0,15000,32288,0,23500,0,0,Tim Scott,John Barraso,Mitch McConnell
"Akin, Gump et al",www.akingump.com,412349,0,0,0,0,0,0,0,0,0,14500,20300,46395,0,0,33275,0,0,13250,0,0,0,0,21770,0,19750,0,0,0,0,16500,0,49000,0,64949,0,0,22565,0,23500,0,0,0,0,0,0,12850,30300,23445,0,John Cornyn,John Thune,Marco Rubio
GEO Group,www.geogroup.com,410897,0,0,0,80425,10000,0,0,0,0,0,0,74625,0,0,0,0,30043,0,0,0,15000,0,0,0,0,0,0,0,0,0,34000,0,0,53600,0,0,0,0,0,0,51000,62204,0,0,0,0,0,0,0,Rick Scott,Marco Rubio,Mitch McConnell
Council of Insurance Agents & Brokers,www.ciab.com,405000,0,0,0,0,0,11000,0,0,0,5000,0,0,0,0,27500,19000,0,13500,0,20000,28500,0,27000,0,0,0,15000,0,0,24000,25000,40000,0,0,0,24000,25000,0,36000,0,0,0,0,0,0,21500,18000,0,25000,John Thune,Roger Wicker,Benjamin Sasse
PNC Financial Services,www.pncfinancialservices.com,400310,0,0,0,0,30000,0,0,0,0,0,25543,45552,0,0,47935,64780,0,12500,0,0,36000,0,0,0,0,0,0,0,61000,0,0,0,0,0,0,14500,0,5000,0,0,15000,0,0,0,0,42500,0,0,0,Pat Toomey,Michael Crapo,Tim Scott
Pinnacle West Capital,www.pinnaclewest.com,398081,0,0,0,0,0,0,0,0,0,25000,0,0,79600,0,0,0,0,0,22500,0,0,0,0,25000,21000,0,0,19000,0,0,0,25000,0,0,30300,0,0,0,0,0,0,0,0,0,30000,15000,26000,32431,47250,John Barraso,Lisa Murkowski,Lindsey Graham
KKR & Co,www.kkr.com,397650,0,0,0,0,0,0,17010,0,0,0,0,0,0,0,0,0,33010,0,0,0,0,59445,0,0,0,0,0,0,0,0,0,0,0,125215,0,0,0,0,24535,0,0,94325,0,0,0,0,0,0,44110,John Cornyn,Mitch McConnell,Bill Cassidy
National Auto Dealers Assn,www.nada.org,395000,0,0,0,0,0,10000,0,0,0,5000,0,0,25000,0,0,0,0,0,0,20000,0,0,35000,0,17500,0,0,10000,25000,0,27500,25000,0,40000,0,0,0,0,30000,0,35000,35000,30000,0,0,0,25000,0,0,John Cornyn,Steven Daines,Steven Daines
Google Inc,www.abc.xyz,393713,0,0,0,0,0,0,0,0,0,0,0,0,27000,12750,28263,17500,0,12500,0,0,31475,0,0,0,17500,0,0,24000,21000,14000,23500,29900,0,0,15400,0,0,0,26200,0,25075,0,0,0,10250,0,23000,0,34400,Lisa Murkowski,Benjamin Sasse,John Thune
Republican Jewish Coalition,www.rjchq.org,388011,42474,0,19625,27490,0,0,0,20961,0,0,0,29407,0,0,0,0,0,0,0,0,0,0,62058,0,0,31752,15850,10000,0,0,0,0,0,0,0,17600,0,0,0,0,0,0,0,0,0,0,0,110794,0,Lindsey Graham,Steven Daines,Ted Cruz
International Paper,www.internationalpaper.com,379705,0,0,0,0,0,0,42000,26425,0,0,0,0,30000,0,0,0,0,17500,22500,0,0,0,0,0,39000,0,12800,0,0,0,0,0,0,40175,0,0,0,0,25000,0,15000,35475,0,0,7500,0,25000,23830,17500,Bill Haggerty,John Cornyn,James Inhofe
Air Line Pilots Assn,www.alpa.org,378500,0,0,0,0,0,15000,0,0,0,5000,0,0,0,0,0,13000,0,0,0,0,0,0,28500,27000,20000,0,0,0,0,31000,29000,26000,0,0,25000,0,35000,0,32000,20000,0,0,0,0,0,22500,25000,0,24500,Todd Young,Roger Wicker,Deb Fischer
1st Financial Bank USA,www.1fbusa.com,369154,0,0,0,0,0,0,16435,0,16625,0,0,0,30600,0,0,0,0,23366,0,0,15800,30800,0,0,0,31250,0,26400,25600,30964,16400,35700,0,0,0,0,0,5950,26000,0,0,0,0,0,21664,15600,0,0,0,John Thune,Joni Ernst,Deb Fischer
Humana Inc,www.humana.com,356529,0,0,0,18801,0,0,0,0,0,0,0,0,25000,0,41039,13000,0,0,16500,0,14500,0,0,0,22505,0,0,0,26500,0,0,28000,0,0,0,0,32818,0,0,0,0,87341,0,0,12500,0,18025,0,0,Mitch McConnell,Tim Scott,Todd Young
UBS AG,www.ubsagency.com,350447,0,0,0,0,0,0,31200,0,39708,10300,35075,20500,0,0,42980,0,0,0,0,0,0,0,0,0,0,28259,0,0,0,0,0,0,15050,58300,17500,0,0,5000,0,0,0,0,0,0,0,0,24500,22075,0,John Cornyn,Tim Scott,John Kennedy
"Brownstein, Hyatt et al",www.bhfs.com,345714,0,0,0,0,0,0,0,0,0,0,0,24025,41900,0,37250,0,19575,15033,0,0,0,0,0,0,0,0,0,0,0,14456,0,55525,0,0,0,0,25300,0,0,0,0,68150,15800,0,0,0,0,28700,0,Mitch McConnell,John Thune,John Barraso
New York Life Insurance,www.newyorklife.com,338641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51553,0,0,0,35000,0,0,22525,39740,0,0,0,0,0,66958,0,0,41100,0,0,0,0,31340,0,0,0,25425,0,0,0,0,25000,0,0,0,Michael Crapo,Tim Scott,John Thune
Amazon.com,www.amazon.com,332358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23588,0,30108,0,0,0,18040,0,22987,0,0,24771,0,0,0,15563,0,35037,0,40385,0,0,0,0,20027,0,23527,0,12606,0,0,0,19637,24502,21580,John Cornyn,John Thune,Mike Lee
