Companies,URL,Total,Ted Cruz,Tommy Tuberville,Joshua Hawley,Rick Scott,Richard Shelby,"Marshall, Roger",Bill Haggerty,Marsha Blackburn,John Kennedy,Cynthia Lummis,Tom Cotton,Marco Rubio,John Barraso,Rand Paul,Tim Scott,Pat Toomey,Mike Lee,John Boozman,James Lankford,Cindy Hyde-Smith,Benjamin Sasse,Bill Cassidy,Steven Daines,John Hoeven,James Inhofe,Joni Ernst,Mike Braun,Jim Risch,Michael Crapo,Deb Fischer,Jerry Moran,John Thune,Ron Johnson,John Cornyn,Dan Sullivan,Kevin Cramer,Todd Young,Thom Tills,Roger Wicker,Roy Blunt,Shelley Moore Capito,Mitch McConnell,Chuck Grassley,Mitt Romney,Richard Burr,Mike Rounds,Rob Portman,Lindsey Graham,Lisa Murkowski,First Highest Donatee,Second Highest Donatee,Third Highest Donatee
Senate Conservatives Fund,www.senateconservatives.com,"$1,827,134.00","$286,588.00","$106,146.00","$363,735.00",$0.00,$0.00,$0.00,$0.00,"$289,292.00",$0.00,"$146,748.00",$0.00,$0.00,$0.00,"$49,327.00",$0.00,$0.00,"$34,350.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$295,841.00",$0.00,$0.00,$0.00,"$217,112.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$37,995.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Joshua Hawley,Steven Daines,Marsha Blackburn
Club for Growth,www.clubforgrowth.org,"$1,472,410.00","$235,782.00",$0.00,"$299,301.00","$167,674.00",$0.00,$0.00,$0.00,"$220,703.00",$0.00,"$139,288.00",$0.00,$0.00,$0.00,"$94,367.00",$0.00,$0.00,"$73,340.00",$0.00,$0.00,$0.00,"$49,801.00",$0.00,"$109,971.00",$0.00,$0.00,$0.00,"$82,183.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Joshua Hawley,Ted Cruz,Marsha Blackburn
Berkshire Hathaway,www.berkshirehathaway.com,"$1,461,434.00","$87,583.00",$0.00,"$28,346.00","$24,443.00",$0.00,"$11,014.00",$0.00,"$26,880.00","$26,751.00","$7,517.00",$0.00,"$32,061.00","$58,153.00",$0.00,"$28,324.00","$12,051.00","$40,228.00",$0.00,"$23,500.00",$0.00,"$27,550.00","$41,260.00","$45,266.00",$0.00,"$27,550.00","$78,159.00","$35,075.00","$34,000.00",$0.00,"$53,910.00","$47,600.00","$40,500.00","$25,801.00","$102,476.00","$34,165.00","$19,050.00","$56,680.00",$0.00,"$73,025.00","$25,050.00","$42,550.00","$62,079.00","$35,164.00","$15,000.00",$0.00,"$26,050.00","$22,000.00","$60,618.00","$24,005.00",John Cornyn,Ted Cruz,Joni Ernst
Blackstone Group,www.blackstone.com,"$1,330,062.00","$27,240.00",$0.00,$0.00,$0.00,$0.00,"$22,325.00","$30,035.00","$42,680.00","$23,095.00",$0.00,"$33,513.00","$18,933.00","$43,200.00",$0.00,"$45,216.00","$25,900.00","$39,666.00","$15,500.00","$38,656.00","$17,250.00","$19,300.00","$45,875.00","$68,194.00","$24,731.00",$0.00,"$65,618.00","$12,825.00","$11,200.00","$64,100.00",$0.00,$0.00,"$68,400.00",$0.00,"$80,505.00","$37,100.00","$27,000.00","$18,731.00",$0.00,$0.00,$0.00,"$35,200.00","$144,438.00","$38,335.00","$77,400.00",$0.00,"$15,020.00",$0.00,"$52,881.00",$0.00,Mitch McConnell,John Cornyn,Mitt Romney
Comcast Corp,corporate.comcast.com,"$1,320,507.00","$33,430.00",$0.00,"$19,074.00","$19,200.00","$15,000.00",$0.00,$0.00,"$52,975.00",$0.00,"$12,500.00","$22,873.00","$31,191.00","$35,000.00","$13,557.00","$24,484.00","$38,875.00","$43,500.00","$44,500.00","$22,500.00","$27,562.00","$29,025.00","$22,000.00","$21,743.00","$25,000.00","$20,000.00","$38,926.00","$17,500.00","$22,500.00","$22,000.00","$48,312.00","$38,000.00","$34,500.00","$22,615.00","$41,593.00","$38,060.00","$13,000.00","$31,020.00","$5,000.00","$48,200.00","$30,000.00","$31,462.00","$78,175.00","$25,515.00","$20,045.00","$15,000.00","$15,000.00","$25,100.00","$59,995.00","$25,000.00",Mitch McConnell,Lindsey Graham,Marsha Blackburn
Apollo Global Management,www.apollo.com,"$1,261,419.00","$36,257.00",$0.00,$0.00,"$24,561.00","$47,500.00",$0.00,"$120,085.00","$25,573.00",$0.00,$0.00,"$52,168.00","$18,926.00","$25,700.00","$11,075.00","$39,140.00","$46,100.00","$16,400.00",$0.00,"$18,600.00",$0.00,"$15,400.00",$0.00,$0.00,$0.00,"$15,025.00","$67,453.00","$14,581.00","$24,425.00","$79,450.00","$17,135.00",$0.00,"$29,500.00",$0.00,"$238,010.00","$23,435.00","$11,915.00","$46,751.00",$0.00,$0.00,$0.00,$0.00,"$110,587.00","$35,700.00","$25,250.00",$0.00,$0.00,$0.00,"$24,717.00",$0.00,John Cornyn,Bill Haggerty,Mitch McConnell
Blue Cross/Blue Shield,www.bcbs.com,"$1,174,545.00",$0.00,$0.00,$0.00,$0.00,"$10,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$20,073.00","$52,055.00",$0.00,"$44,412.00","$42,500.00",$0.00,$0.00,"$45,000.00",$0.00,"$24,000.00","$41,520.00","$41,398.00",$0.00,$0.00,"$41,932.00",$0.00,"$14,002.00","$66,002.00","$23,076.00","$20,000.00","$32,000.00",$0.00,"$81,975.00",$0.00,$0.00,"$104,715.00",$0.00,$0.00,"$48,525.00","$31,525.00","$117,392.00","$82,796.00","$22,535.00","$7,000.00",$0.00,"$63,510.00","$53,142.00","$43,460.00",Mitch McConnell,Todd Young,Chuck Grassley
AT&T Inc,www.att.com,"$1,146,336.00","$49,430.00",$0.00,"$23,100.00",$0.00,$0.00,"$11,007.00",$0.00,"$50,481.00",$0.00,$0.00,"$24,714.00","$34,331.00",$0.00,"$36,708.00","$30,873.00","$29,700.00","$40,065.00","$41,075.00","$34,010.00",$0.00,"$31,002.00",$0.00,$0.00,"$14,020.00","$35,065.00","$26,845.00","$20,505.00",$0.00,$0.00,"$30,025.00","$35,000.00","$37,970.00","$46,133.00","$44,463.00","$25,131.00","$19,030.00","$29,357.00","$2,025.00","$37,000.00","$36,108.00","$31,021.00","$88,430.00","$14,770.00",$0.00,"$34,000.00","$26,580.00","$20,555.00","$55,807.00",$0.00,Mitch McConnell,Lindsey Graham,Marsha Blackburn
Northrop Grumman,www.northropgrumman.com,"$1,143,777.00","$27,403.00",$0.00,"$19,384.00",$0.00,"$30,000.00",$0.00,$0.00,$0.00,"$21,146.00",$0.00,"$25,717.00","$34,204.00","$25,550.00",$0.00,"$24,308.00","$22,685.00","$22,791.00","$30,250.00","$28,088.00",$0.00,"$25,455.00","$23,215.00","$38,981.00","$38,075.00","$42,124.00","$40,388.00",$0.00,"$23,015.00",$0.00,"$67,880.00","$28,775.00","$46,375.00","$18,528.00","$42,009.00","$37,267.00","$15,125.00","$28,357.00",$0.00,"$29,025.00","$22,525.00","$31,040.00","$47,617.00","$16,595.00","$18,025.00","$16,000.00","$32,500.00","$20,090.00","$51,690.00","$31,575.00",Deb Fischer,Lindsey Graham,Mitch McConnell
Votesane PAC,www.votesane.com,"$1,108,685.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$176,625.00",$0.00,$0.00,"$145,935.00",$0.00,$0.00,$0.00,"$125,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$105,100.00",$0.00,$0.00,$0.00,$0.00,"$130,400.00","$177,000.00",$0.00,$0.00,$0.00,$0.00,"$103,525.00",$0.00,$0.00,$0.00,$0.00,"$127,450.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$17,150.00",John Thune,Marco Rubio,Tim Scott
Charter Communications,www.chartercommunications.co,"$1,075,222.00","$25,455.00",$0.00,"$23,805.00",$0.00,$0.00,$0.00,$0.00,"$28,500.00","$25,025.00","$10,000.00",$0.00,"$25,157.00","$89,700.00","$19,050.00",$0.00,$0.00,"$45,000.00","$15,000.00","$30,000.00",$0.00,"$20,000.00","$32,500.00","$111,799.00","$15,000.00",$0.00,"$35,880.00","$15,000.00",$0.00,"$25,000.00","$25,000.00","$30,000.00","$42,500.00","$30,060.00","$35,725.00","$17,500.00","$15,000.00","$30,000.00",$0.00,"$52,300.00","$29,050.00","$27,000.00","$73,980.00",$0.00,$0.00,$0.00,$0.00,"$17,500.00","$37,736.00","$20,000.00",Steven Daines,John Barraso,Mitch McConnell
United Parcel Service,www.ups.com,"$1,027,558.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$18,070.00",$0.00,"$25,512.00","$21,413.00","$11,000.00","$21,133.00","$28,419.00","$34,041.00","$18,562.00","$33,752.00",$0.00,$0.00,"$22,500.00","$25,005.00",$0.00,"$24,525.00","$29,120.00","$49,221.00",$0.00,$0.00,"$29,440.00","$22,000.00",$0.00,"$27,700.00","$31,000.00","$26,500.00","$37,000.00","$26,992.00","$39,093.00","$31,162.00",$0.00,"$35,022.00",$0.00,$0.00,"$27,010.00","$35,080.00","$142,356.00",$0.00,$0.00,"$15,000.00","$35,085.00","$23,555.00","$45,830.00","$35,460.00",Mitch McConnell,Steven Daines,Lindsey Graham
Lockheed Martin,www.lmco.com,"$1,015,472.00","$79,105.00",$0.00,$0.00,$0.00,"$132,750.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$68,094.00","$35,792.00",$0.00,$0.00,"$32,323.00",$0.00,$0.00,"$33,000.00","$14,505.00","$15,344.00",$0.00,$0.00,"$32,049.00","$20,035.00","$114,848.00","$29,583.00",$0.00,"$36,059.00",$0.00,"$34,534.00","$32,025.00","$30,535.00",$0.00,"$53,834.00","$20,144.00",$0.00,$0.00,$0.00,$0.00,"$19,665.00",$0.00,$0.00,"$17,645.00",$0.00,"$11,000.00","$26,569.00",$0.00,"$106,034.00","$20,000.00",Richard Shelby,James Inhofe,Lindsey Graham
NextEra Energy,www.nexteraenergy.com,"$1,000,611.00",$0.00,$0.00,$0.00,"$117,073.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$37,921.00","$68,550.00",$0.00,"$31,195.00",$0.00,$0.00,"$49,000.00","$19,000.00",$0.00,"$18,500.00",$0.00,"$49,899.00","$29,500.00","$17,000.00","$53,700.00",$0.00,$0.00,"$22,000.00",$0.00,$0.00,"$116,700.00",$0.00,"$41,376.00","$16,500.00",$0.00,"$18,000.00",$0.00,$0.00,$0.00,$0.00,"$92,091.00","$27,500.00",$0.00,$0.00,"$43,200.00","$20,000.00","$46,156.00","$65,750.00",Rick Scott,John Thune,Mitch McConnell
Honeywell International,www.honeywellinternational.co,"$993,583.00","$32,474.00",$0.00,$0.00,$0.00,"$35,000.00",$0.00,$0.00,$0.00,"$15,671.00",$0.00,"$25,798.00","$37,241.00","$25,023.00",$0.00,"$33,813.00","$18,685.00",$0.00,"$21,500.00","$31,000.00",$0.00,"$30,105.00","$37,700.00","$32,030.00","$26,000.00","$32,960.00","$29,769.00","$14,000.00","$17,600.00","$22,500.00","$35,010.00","$27,500.00","$33,025.00","$18,810.00","$35,086.00","$30,306.00",$0.00,"$33,048.00",$0.00,"$32,500.00",$0.00,"$30,150.00","$56,822.00","$32,500.00",$0.00,"$25,000.00","$28,150.00","$24,500.00","$32,307.00",$0.00,Mitch McConnell,Bill Cassidy,Marco Rubio
National Assn of Realtors,www.nar.realtor,"$972,959.00",$0.00,$0.00,$0.00,$0.00,"$20,000.00","$10,000.00","$15,000.00","$20,500.00","$17,500.00","$15,000.00","$21,000.00","$22,000.00","$35,000.00",$0.00,"$30,525.00","$25,000.00","$15,500.00","$18,000.00","$19,000.00","$40,000.00","$27,500.00","$34,000.00","$26,000.00","$19,000.00","$19,500.00","$28,550.00",$0.00,"$12,000.00","$29,000.00","$18,000.00","$19,500.00","$35,000.00",$0.00,"$41,025.00",$0.00,"$16,250.00","$18,302.00",$0.00,"$33,000.00","$30,000.00","$25,000.00","$40,654.00","$29,000.00","$12,500.00","$17,500.00","$30,500.00","$27,000.00","$33,153.00","$27,000.00",John Cornyn,Mitch McConnell,Cindy Hyde-Smith
FedEx Corp,www.fedex.com,"$969,891.00","$37,991.00",$0.00,$0.00,"$27,930.00","$26,000.00","$12,150.00","$66,902.00","$58,021.00",$0.00,$0.00,$0.00,"$25,417.00","$32,593.00",$0.00,"$37,681.00","$12,560.00",$0.00,"$20,000.00","$13,000.00",$0.00,"$13,500.00",$0.00,"$39,423.00",$0.00,"$23,523.00","$41,856.00","$13,610.00","$15,753.00",$0.00,"$27,008.00","$20,000.00","$35,530.00","$12,521.00",$0.00,"$48,937.00",$0.00,"$29,214.00",$0.00,$0.00,"$17,500.00","$27,524.00","$59,035.00","$18,808.00","$13,200.00","$16,500.00","$12,005.00","$24,520.00","$49,079.00","$40,600.00",Bill Haggerty,Mitch McConnell,Marsha Blackburn
Home Depot,www.homedepot.com,"$968,616.00",$0.00,$0.00,$0.00,"$70,836.00","$20,000.00","$10,085.00","$20,356.00",$0.00,$0.00,"$5,010.00","$18,308.00","$20,679.00","$22,601.00","$12,250.00","$36,745.00",$0.00,"$25,197.00","$20,000.00","$20,000.00",$0.00,"$20,037.00","$25,099.00","$38,415.00","$30,000.00","$25,066.00","$38,685.00","$15,000.00","$22,514.00","$25,004.00","$38,010.00",$0.00,"$27,525.00",$0.00,"$32,640.00","$30,643.00","$15,000.00","$32,751.00",$0.00,"$40,000.00","$20,000.00","$25,010.00","$42,383.00","$30,267.00",$0.00,$0.00,"$15,000.00","$20,074.00","$32,351.00","$25,075.00",Rick Scott,Mitch McConnell,Roger Wicker
Union Pacific Corp,www.up.com,"$960,352.00","$34,700.00",$0.00,$0.00,$0.00,"$15,000.00","$11,500.00",$0.00,"$20,000.00",$0.00,$0.00,$0.00,"$30,146.00","$33,500.00",$0.00,$0.00,$0.00,"$32,000.00","$30,000.00","$40,000.00",$0.00,"$40,855.00","$22,500.00","$31,035.00","$12,500.00","$32,000.00","$36,705.00",$0.00,"$15,000.00","$35,000.00","$66,526.00","$35,000.00","$25,000.00","$25,500.00","$35,711.00","$31,000.00",$0.00,"$25,000.00",$0.00,"$35,000.00","$20,005.00","$35,500.00","$35,080.00","$30,000.00","$20,000.00","$15,000.00",$0.00,"$22,500.00","$31,089.00",$0.00,Deb Fischer,Benjamin Sasse,James Lankford
Delta Air Lines,www.delta.com,"$931,516.00","$73,381.00",$0.00,$0.00,$0.00,"$20,000.00",$0.00,"$18,585.00","$32,138.00",$0.00,"$5,035.00",$0.00,"$21,879.00","$79,417.00",$0.00,"$27,135.00",$0.00,"$30,843.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$27,530.00","$32,075.00",$0.00,$0.00,$0.00,"$62,430.00","$64,900.00","$36,495.00",$0.00,"$32,710.00","$10,674.00","$36,352.00","$41,400.00","$15,270.00",$0.00,$0.00,"$35,225.00",$0.00,"$38,605.00","$55,461.00",$0.00,"$20,400.00",$0.00,$0.00,"$30,570.00","$39,870.00","$43,136.00",John Barraso,Ted Cruz,Michael Crapo
Deloitte LLP,www2.deloitte.com,"$920,722.00",$0.00,$0.00,"$16,778.00","$21,860.00","$15,000.00","$10,600.00",$0.00,"$24,935.00",$0.00,$0.00,$0.00,"$25,425.00","$30,010.00",$0.00,"$39,043.00","$22,510.00",$0.00,"$23,500.00","$24,500.00",$0.00,"$21,005.00","$27,510.00","$37,337.00","$15,020.00","$17,540.00","$33,209.00","$12,945.00","$20,025.00","$32,500.00","$28,025.00","$21,100.00","$30,000.00","$17,778.00","$42,558.00","$27,788.00",$0.00,"$28,470.00",$0.00,"$22,545.00","$20,015.00","$34,125.00","$42,551.00",$0.00,$0.00,"$15,000.00","$27,015.00","$33,510.00","$36,465.00","$22,525.00",John Cornyn,Mitch McConnell,Tim Scott
Koch Industries,www.kochcareers.com,"$915,801.00",$0.00,$0.00,"$16,020.00","$32,920.00","$10,000.00","$25,635.00",$0.00,"$44,225.00","$25,342.00","$15,000.00",$0.00,$0.00,"$45,400.00",$0.00,"$37,872.00","$21,000.00","$30,400.00","$29,000.00","$34,000.00",$0.00,"$30,025.00","$30,000.00","$41,030.00",$0.00,"$40,000.00",$0.00,$0.00,"$35,000.00","$32,500.00",$0.00,"$18,900.00",$0.00,"$15,804.00","$46,809.00","$20,010.00","$11,000.00","$25,004.00",$0.00,"$31,000.00","$20,000.00","$30,000.00","$44,397.00",$0.00,$0.00,$0.00,"$31,000.00","$22,500.00","$24,008.00",$0.00,John Cornyn,John Barraso,Mitch McConnell
Raytheon Technologies,www.rtx.com,"$910,172.00","$29,568.00",$0.00,$0.00,"$38,498.00","$37,600.00",$0.00,$0.00,$0.00,"$15,806.00",$0.00,$0.00,"$49,294.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$20,000.00",$0.00,"$21,015.00",$0.00,$0.00,$0.00,"$26,000.00","$57,525.00","$91,765.00",$0.00,"$29,000.00",$0.00,"$37,000.00","$20,500.00","$33,640.00",$0.00,"$57,918.00","$29,008.00",$0.00,$0.00,$0.00,"$57,900.00","$17,000.00","$13,060.00","$74,587.00","$15,027.00",$0.00,"$20,000.00","$19,000.00","$27,058.00","$42,378.00","$30,025.00",Joni Ernst,Mitch McConnell,John Cornyn
National Republican Senatorial Cmte,www.nrsc.org,"$863,698.00",$0.00,$0.00,"$47,400.00",$0.00,$0.00,"$44,600.00","$44,600.00","$47,402.00",$0.00,$0.00,$0.00,"$46,200.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$49,000.00","$46,501.00","$47,400.00",$0.00,"$44,602.00","$44,625.00",$0.00,$0.00,"$44,638.00","$47,400.00","$35,000.00",$0.00,$0.00,$0.00,$0.00,"$46,500.00","$44,630.00","$44,700.00","$47,400.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$46,500.00",$0.00,$0.00,$0.00,$0.00,"$44,600.00",$0.00,John Boozman,Marsha Blackburn,Joshua Hawley
Capital Group Companies,www.capitalgroup.com,"$832,983.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$26,500.00",$0.00,"$61,910.00","$28,500.00",$0.00,"$38,300.00",$0.00,$0.00,"$100,200.00",$0.00,$0.00,$0.00,$0.00,"$30,425.00",$0.00,$0.00,"$47,500.00",$0.00,$0.00,"$100,600.00",$0.00,"$54,273.00","$20,000.00",$0.00,"$50,800.00",$0.00,$0.00,$0.00,$0.00,"$99,350.00",$0.00,"$30,100.00","$8,000.00","$30,400.00","$50,000.00","$56,125.00",$0.00,John Thune,Benjamin Sasse,Mitch McConnell
National Multifamily Housing Council,www.nmhc.org,"$824,500.00",$0.00,$0.00,$0.00,$0.00,"$10,000.00",$0.00,$0.00,"$22,500.00",$0.00,"$10,000.00",$0.00,"$25,000.00","$45,000.00",$0.00,"$26,500.00","$25,000.00",$0.00,"$32,500.00","$20,000.00","$17,500.00",$0.00,"$25,000.00","$35,000.00","$10,000.00","$25,500.00",$0.00,$0.00,$0.00,"$35,000.00","$37,500.00","$35,000.00","$35,000.00",$0.00,"$40,000.00","$20,000.00",$0.00,"$30,000.00",$0.00,"$40,000.00","$30,000.00","$35,000.00","$37,500.00","$30,000.00",$0.00,"$7,500.00","$30,000.00","$25,000.00",$0.00,"$27,500.00",John Barraso,John Cornyn,John Cornyn
Goldman Sachs,www.goldmansachs.com,"$818,509.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$19,100.00","$34,000.00",$0.00,$0.00,$0.00,"$142,220.00","$20,000.00",$0.00,$0.00,"$90,810.00","$48,500.00",$0.00,"$15,500.00","$26,800.00","$16,300.00","$13,500.00",$0.00,"$36,725.00",$0.00,$0.00,"$24,125.00","$15,000.00","$17,900.00","$21,000.00",$0.00,$0.00,"$27,900.00",$0.00,"$42,225.00","$59,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,"$18,500.00","$56,079.00",$0.00,"$34,550.00",$0.00,"$15,300.00","$22,575.00",$0.00,$0.00,Tom Cotton,Tim Scott,Dan Sullivan
Microsoft Corp,www.microsoft.com,"$774,290.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$6,883.00",$0.00,$0.00,"$34,500.00","$19,585.00","$31,878.00",$0.00,"$75,700.00","$19,900.00",$0.00,$0.00,"$36,420.00",$0.00,"$47,777.00","$40,300.00","$17,550.00","$22,600.00",$0.00,$0.00,$0.00,"$23,000.00",$0.00,"$47,900.00",$0.00,"$48,763.00","$25,100.00","$13,000.00","$22,418.00",$0.00,"$40,200.00","$20,200.00",$0.00,"$44,577.00","$20,405.00","$15,445.00",$0.00,"$28,550.00",$0.00,"$71,639.00",$0.00,Mike Lee,Lindsey Graham,John Cornyn
National Assn of Broadcasters,www.nab.org,"$770,643.00",$0.00,$0.00,"$16,400.00",$0.00,$0.00,$0.00,$0.00,"$25,750.00",$0.00,"$20,000.00",$0.00,"$22,500.00","$34,000.00",$0.00,$0.00,$0.00,"$30,000.00","$31,468.00",$0.00,"$22,500.00","$31,500.00",$0.00,$0.00,$0.00,"$17,500.00","$25,750.00",$0.00,$0.00,$0.00,"$21,000.00","$35,500.00","$49,850.00",$0.00,"$36,500.00","$25,000.00",$0.00,"$53,200.00",$0.00,"$68,850.00","$47,200.00","$34,000.00","$34,500.00","$37,000.00",$0.00,$0.00,$0.00,$0.00,"$50,675.00",$0.00,Roger Wicker,Todd Young,Lindsey Graham
Mortgage Bankers Assn,www.mba.org,"$770,500.00",$0.00,$0.00,$0.00,$0.00,"$25,000.00",$0.00,"$15,000.00",$0.00,"$25,000.00","$15,000.00","$35,000.00",$0.00,"$37,500.00",$0.00,"$30,000.00","$25,000.00","$10,000.00","$12,500.00","$27,500.00","$32,500.00","$30,000.00",$0.00,"$30,000.00",$0.00,$0.00,"$27,500.00","$12,500.00",$0.00,"$34,000.00",$0.00,"$20,000.00","$32,500.00",$0.00,"$37,800.00",$0.00,"$15,000.00","$22,500.00",$0.00,"$25,000.00","$25,000.00","$36,000.00","$35,000.00","$27,500.00","$15,000.00",$0.00,"$37,700.00","$17,500.00",$0.00,$0.00,John Cornyn,Mike Rounds,John Barraso
General Dynamics,www.gdit.com,"$767,554.00",$0.00,$0.00,$0.00,$0.00,"$68,000.00",$0.00,"$20,512.00",$0.00,$0.00,$0.00,"$25,025.00","$36,413.00","$28,100.00",$0.00,"$40,301.00",$0.00,$0.00,"$32,050.00","$27,125.00","$16,530.00",$0.00,$0.00,"$29,553.00",$0.00,"$57,500.00","$24,600.00","$15,000.00","$28,025.00",$0.00,"$33,500.00","$19,500.00",$0.00,$0.00,$0.00,"$30,125.00",$0.00,$0.00,$0.00,"$20,625.00","$18,500.00","$18,145.00","$41,766.00",$0.00,$0.00,"$10,000.00","$25,575.00","$30,000.00","$39,559.00","$31,525.00",Richard Shelby,James Inhofe,Mitch McConnell
American Bankers Assn,www.aba.com,"$693,157.00",$0.00,$0.00,"$13,525.00",$0.00,$0.00,"$16,025.00","$12,750.00",$0.00,$0.00,$0.00,"$25,550.00","$25,000.00",$0.00,$0.00,"$30,550.00","$21,250.00","$12,500.00","$25,000.00","$30,500.00","$30,025.00","$26,050.00",$0.00,"$22,525.00","$28,500.00","$20,525.00","$38,620.00","$12,525.00","$12,525.00","$30,000.00","$21,130.00","$20,950.00","$25,000.00","$20,000.00","$42,175.00","$16,800.00",$0.00,"$20,050.00",$0.00,"$25,025.00",$0.00,$0.00,$0.00,"$20,057.00",$0.00,$0.00,"$33,025.00",$0.00,$0.00,"$15,000.00",John Cornyn,Joni Ernst,Mike Rounds
Altria Group,www.altria.com,"$677,325.00",$0.00,$0.00,$0.00,"$23,200.00","$30,000.00","$11,030.00","$17,500.00","$32,516.00",$0.00,"$7,750.00",$0.00,"$19,050.00",$0.00,"$24,400.00","$23,083.00",$0.00,"$15,750.00",$0.00,"$14,500.00","$15,000.00",$0.00,"$35,010.00","$43,150.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$39,700.00","$12,550.00","$44,399.00",$0.00,$0.00,"$18,000.00",$0.00,$0.00,"$22,500.00","$14,379.00","$110,147.00","$19,025.00",$0.00,"$45,600.00",$0.00,$0.00,"$39,086.00",$0.00,Mitch McConnell,Richard Burr,John Cornyn
NorPAC,www.norpacpaper.com,"$668,413.00","$93,950.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$22,300.00",$0.00,$0.00,"$24,300.00",$0.00,$0.00,$0.00,"$28,728.00",$0.00,$0.00,"$22,500.00",$0.00,"$24,320.00","$29,300.00","$59,200.00","$40,770.00",$0.00,$0.00,"$29,000.00",$0.00,$0.00,"$29,300.00","$20,650.00","$24,800.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,220.00",$0.00,"$25,500.00","$163,575.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Mitch McConnell,Ted Cruz,Bill Cassidy
Pro-Israel America PAC,www.proisraelamerica.org,"$660,170.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$124,050.00",$0.00,$0.00,"$125,200.00",$0.00,$0.00,"$79,000.00","$227,500.00",$0.00,$0.00,$0.00,$0.00,"$12,500.00",$0.00,$0.00,$0.00,$0.00,"$73,420.00",$0.00,"$18,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,James Lankford,Tim Scott,Marco Rubio
Wine & Spirits Wholesalers of America,www.wine.com,"$650,833.00",$0.00,$0.00,$0.00,$0.00,"$15,000.00",$0.00,$0.00,$0.00,$0.00,"$5,000.00",$0.00,$0.00,"$35,000.00",$0.00,"$27,500.00","$20,000.00",$0.00,"$32,500.00",$0.00,$0.00,"$18,333.00","$22,500.00","$33,000.00","$26,000.00","$27,500.00",$0.00,$0.00,$0.00,"$25,000.00","$20,000.00","$27,500.00","$30,000.00","$25,000.00","$37,500.00","$38,500.00",$0.00,"$32,500.00",$0.00,$0.00,"$22,500.00","$32,500.00","$35,000.00","$17,500.00",$0.00,"$7,500.00",$0.00,$0.00,$0.00,"$37,500.00",Dan Sullivan,John Cornyn,John Cornyn
UnitedHealth Group,www.unitedhealthgroup.com,"$638,199.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$25,025.00",$0.00,"$37,971.00",$0.00,"$10,593.00",$0.00,$0.00,$0.00,$0.00,"$25,710.00",$0.00,"$12,500.00","$15,000.00",$0.00,"$18,900.00",$0.00,"$121,300.00",$0.00,$0.00,"$27,500.00","$12,990.00","$43,380.00",$0.00,$0.00,"$40,635.00",$0.00,$0.00,"$35,000.00","$28,600.00","$84,520.00","$17,500.00","$17,575.00","$12,500.00","$20,000.00","$31,000.00",$0.00,$0.00,Michael Crapo,Mitch McConnell,John Cornyn
